Entry_ID;Entrytype;Featuretype
id_09258;entrytype:Toponym;featuretype:Pueblo
id_00005;entrytype:Toponym;featuretype:Rio
id_00006;entrytype:Toponym;featuretype:Pueblo
id_00007;entrytype:Referral;featuretype:None
id_00008;entrytype:Toponym;featuretype:Pueblo
id_00009;entrytype:Toponym;featuretype:Punta
id_00010;entrytype:Toponym;featuretype:Pueblo
id_00011;entrytype:Toponym;featuretype:Provincia
id_00012;entrytype:Toponym;featuretype:Pueblo
id_00013;entrytype:Toponym;featuretype:Pueblo
id_00014;entrytype:Demonym;featuretype:Nación
id_00015;entrytype:Toponym;featuretype:Pueblo
id_00016;entrytype:Toponym;featuretype:Rio
id_00017;entrytype:Toponym;featuretype:Pueblo
id_00018;entrytype:Demonym;featuretype:Nación
id_00019;entrytype:Toponym;featuretype:Pueblo
id_00020;entrytype:Toponym;featuretype:Montañas
id_00021;entrytype:Toponym;featuretype:Pueblo
id_00022;entrytype:Toponym;featuretype:Pueblo
id_00023;entrytype:Demonym;featuretype:Nación
id_00024;entrytype:Toponym;featuretype:Provincia
id_00025;entrytype:Toponym;featuretype:Parte
id_00026;entrytype:Toponym;featuretype:Monte
id_00027;entrytype:Toponym;featuretype:Lago
id_00028;entrytype:Demonym;featuretype:Nación
id_00029;entrytype:Toponym;featuretype:Puerto
id_00030;entrytype:Toponym;featuretype:Isla
id_00031;entrytype:Toponym;featuretype:Punta
id_00032;entrytype:Toponym;featuretype:Baxo
id_00033;entrytype:Referral;featuretype:None
id_00034;entrytype:Toponym;featuretype:Pueblo
id_00035;entrytype:Toponym;featuretype:Pueblo
id_00036;entrytype:Toponym;featuretype:Villa
id_00037;entrytype:Toponym;featuretype:Pueblo
id_00038;entrytype:Toponym;featuretype:Pueblo
id_00039;entrytype:Toponym;featuretype:Monte
id_00040;entrytype:Toponym;featuretype:Provincia
id_00041;entrytype:Toponym;featuretype:Pueblo
id_00042;entrytype:Toponym;featuretype:Pueblo
id_00043;entrytype:Toponym;featuretype:Pueblo
id_00044;entrytype:Toponym;featuretype:Pueblo
id_00045;entrytype:Toponym;featuretype:Pueblo
id_00046;entrytype:Toponym;featuretype:Rio
id_00047;entrytype:Toponym;featuretype:Pueblo
id_00048;entrytype:Toponym;featuretype:Rio
id_00049;entrytype:Toponym;featuretype:Pueblo
id_00050;entrytype:Toponym;featuretype:Pueblo
id_00051;entrytype:Toponym;featuretype:Pueblo
id_00052;entrytype:Toponym;featuretype:Pueblo
id_00053;entrytype:Toponym;featuretype:Alcaldía mayor
id_00054;entrytype:Toponym;featuretype:Ciudad
id_00055;entrytype:Toponym;featuretype:Rio
id_00056;entrytype:Toponym;featuretype:Pueblo
id_00057;entrytype:Toponym;featuretype:Rio
id_00058;entrytype:Toponym;featuretype:Rio
id_00059;entrytype:Toponym;featuretype:Pueblo
id_00060;entrytype:Toponym;featuretype:Punta
id_00061;entrytype:Toponym;featuretype:Rio
id_00062;entrytype:Toponym;featuretype:Rio
id_00063;entrytype:Toponym;featuretype:Pueblo
id_00064;entrytype:Toponym;featuretype:Rio
id_00065;entrytype:Toponym;featuretype:Puerto
id_00066;entrytype:Toponym;featuretype:Rio
id_00067;entrytype:Toponym;featuretype:Rio
id_00068;entrytype:Toponym;featuretype:Pueblo
id_00069;entrytype:Toponym;featuretype:Pueblo
id_00070;entrytype:Toponym;featuretype:Pueblo
id_00071;entrytype:Toponym;featuretype:Pueblo
id_00072;entrytype:Toponym;featuretype:Pueblo
id_00073;entrytype:Toponym;featuretype:Pueblo
id_00074;entrytype:Toponym;featuretype:Pueblo
id_00075;entrytype:Toponym;featuretype:Pueblo
id_00076;entrytype:Toponym;featuretype:Pueblo
id_00077;entrytype:Toponym;featuretype:Pueblo
id_00078;entrytype:Toponym;featuretype:Pueblo
id_00078;entrytype:Toponym;featuretype:Pueblo
id_00079;entrytype:Toponym;featuretype:Pueblo
id_00080;entrytype:Toponym;featuretype:Pueblo
id_00081;entrytype:Toponym;featuretype:Pueblo
id_00081a;entrytype:Toponym;featuretype:Pueblo
id_00082;entrytype:Toponym;featuretype:Pueblo
id_00083;entrytype:Toponym;featuretype:Pueblo
id_00084;entrytype:Demonym;featuretype:Nación
id_00085;entrytype:Toponym;featuretype:Pueblo
id_00086;entrytype:Toponym;featuretype:Alcaldía mayor
id_00087;entrytype:Toponym;featuretype:Pueblo
id_00088;entrytype:Toponym;featuretype:Pueblo
id_00089;entrytype:Toponym;featuretype:Puerto
id_00090;entrytype:Toponym;featuretype:Pueblo
id_00091;entrytype:Toponym;featuretype:Pueblo
id_00092;entrytype:Toponym;featuretype:Pueblo
id_00093;entrytype:Toponym;featuretype:Rio
id_00094;entrytype:Toponym;featuretype:Montes
id_00095;entrytype:Toponym;featuretype:Pueblo
id_00096;entrytype:Demonym;featuretype:Nación
id_00097;entrytype:Toponym;featuretype:Montañas
id_00098;entrytype:Referral;featuretype:None
id_00099;entrytype:Toponym;featuretype:Pueblo
id_00100;entrytype:Toponym;featuretype:Puerto
id_00101;entrytype:Toponym;featuretype:Pueblo
id_00102;entrytype:Toponym;featuretype:Rio
id_00103;entrytype:Toponym;featuretype:Monte
id_00104;entrytype:Referral;featuretype:None
id_00105;entrytype:Toponym;featuretype:Rio
id_00106;entrytype:Toponym;featuretype:Pueblo
id_00107;entrytype:Toponym;featuretype:Pueblo
id_00107a;entrytype:Toponym;featuretype:Pueblo
id_00108;entrytype:Toponym;featuretype:Pueblo
id_00109;entrytype:Toponym;featuretype:Rio
id_00110;entrytype:Toponym;featuretype:Ciudad
id_00111;entrytype:Toponym;featuretype:Pueblo
id_00112;entrytype:Toponym;featuretype:Pueblo
id_00113;entrytype:Toponym;featuretype:Pueblo
id_00114;entrytype:Toponym;featuretype:Pueblo
id_00115;entrytype:Toponym;featuretype:Monte
id_00116;entrytype:Toponym;featuretype:Pueblo
id_00117;entrytype:Toponym;featuretype:Pueblo
id_00118;entrytype:Toponym;featuretype:Pueblo
id_00119;entrytype:Toponym;featuretype:Pueblo
id_00120;entrytype:Toponym;featuretype:Condado
id_00121;entrytype:Toponym;featuretype:Pueblo
id_00122;entrytype:Toponym;featuretype:Pueblo
id_00123;entrytype:Toponym;featuretype:Pueblo
id_00124;entrytype:Toponym;featuretype:Salto
id_00125;entrytype:Toponym;featuretype:Pueblo
id_00126;entrytype:Toponym;featuretype:Provincia
id_00127;entrytype:Toponym;featuretype:Volcán
id_00128;entrytype:Toponym;featuretype:Pueblo
id_00129;entrytype:Toponym;featuretype:Pueblo
id_00130;entrytype:Toponym;featuretype:Pueblo
id_00131;entrytype:Toponym;featuretype:Pueblo
id_00132;entrytype:Toponym;featuretype:Isla
id_00133;entrytype:Toponym;featuretype:Cerro
id_00134;entrytype:Toponym;featuretype:Pueblo
id_00135;entrytype:Toponym;featuretype:Pueblo
id_00136;entrytype:Toponym;featuretype:Rio
id_00137;entrytype:Toponym;featuretype:Pueblo
id_00138;entrytype:Toponym;featuretype:Pueblo
id_00139;entrytype:Toponym;featuretype:Pueblo
id_00140;entrytype:Toponym;featuretype:Pueblo
id_00141;entrytype:Toponym;featuretype:Pueblo
id_00142;entrytype:Toponym;featuretype:Pueblo
id_00143;entrytype:Toponym;featuretype:Pueblo
id_00144;entrytype:Toponym;featuretype:Pueblo
id_00145;entrytype:Toponym;featuretype:Pueblo
id_00146;entrytype:Toponym;featuretype:Pueblo
id_00147;entrytype:Toponym;featuretype:Pueblo
id_00148;entrytype:Toponym;featuretype:Partido
id_00149;entrytype:Toponym;featuretype:Pueblo
id_00150;entrytype:Toponym;featuretype:Rio
id_00151;entrytype:Toponym;featuretype:Pueblo
id_00152;entrytype:Toponym;featuretype:Pueblo
id_00153;entrytype:Toponym;featuretype:Pueblo
id_00154;entrytype:Toponym;featuretype:Pueblo
id_00155;entrytype:Toponym;featuretype:Pueblo
id_00156;entrytype:Toponym;featuretype:Pueblo
id_00157;entrytype:Toponym;featuretype:Rio
id_00158;entrytype:Toponym;featuretype:Pueblo
id_00159;entrytype:Toponym;featuretype:Laguna
id_00160;entrytype:Toponym;featuretype:Rio
id_00161;entrytype:Toponym;featuretype:Rio
id_00162;entrytype:Toponym;featuretype:Rio
id_00163;entrytype:Toponym;featuretype:Pueblo
id_00164;entrytype:Toponym;featuretype:Pueblo
id_00165;entrytype:Toponym;featuretype:Población
id_00166;entrytype:Toponym;featuretype:Laguna
id_00167;entrytype:Toponym;featuretype:Rio
id_00168;entrytype:Toponym;featuretype:Rio
id_00169;entrytype:Toponym;featuretype:Rio
id_00170;entrytype:Toponym;featuretype:Puerto
id_00171;entrytype:Toponym;featuretype:Pueblo
id_00172;entrytype:Toponym;featuretype:Pueblo
id_00173;entrytype:Toponym;featuretype:Pueblo
id_00174;entrytype:Toponym;featuretype:Pueblo
id_00175;entrytype:Toponym;featuretype:Pueblo
id_00176;entrytype:Referral;featuretype:None
id_00177;entrytype:Toponym;featuretype:Pueblo
id_00178;entrytype:Toponym;featuretype:Monte
