document id;document_name;id_x;annotation;context;start_offset;end_offset;annotator_id;annotator_name;tag_name;color;annotation_id;
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Tampamolon ;la Cabeza de partido de ***Tampamolon ***y Alcaldía mayor de Valles;16241;16252;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Settlement;;#31D800;CATMA_EA63DE56-D0AA-4246-98E5-A4A69FFEE34A
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Cantla;"Pueblos son :

ßßß
#***Cantla***.
Manalisco.
Huisculco.";1107;1113;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Settlement;;#31D800;CATMA_106F6EBF-1ED7-4BF1-9D74-BA2C6ED8B555
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Huisculco;"#Cantla.
Manalisco.
***Huisculco***.
Yagualica.
Acatico.";1128;1137;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Settlement;;#31D800;CATMA_C55ABE91-0A49-4C44-994F-EF904F4ACF26
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Guanvia;". 
Yanaconas. 
Puelenge. 
***Guanvia***. 
NACIONES DE INDIOS.";13537;13544;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Settlement;;#31D800;CATMA_2561AA58-8866-46AE-8029-AE97E646F997
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Humos;"á la punta de los ***Humos***.

§§§id";3768;3773;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Landmark;;#C0BF96;CATMA_6EA36A91-3B39-460C-A779-DB597B964742
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Poyas;de Santo Domingo, los ***Poyas***, y Pueches más acia;11108;11113;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/NonGeoEntity/Human Group;;#00B0A2;CATMA_2FB88C99-3655-456A-9D12-FA2A6A72A6AC
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Andaquíes;". 
NACIONES DE INDIOS. 
***Andaquíes***. 
##MONTES.";13570;13579;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/NonGeoEntity/Human Group;;#00B0A2;CATMA_D4DD07F8-B803-4E82-8251-CB9D692598D4
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;San Cristóval;".
Yotahuacan.
Tacotan.
***San Cristóval***. 
Iscatlán.
$$";1284;1297;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Settlement;;#31D800;CATMA_933B857E-AFAD-422B-93AB-32005004A7DD
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;grande ;y entra en el rio ***grande ***de los Portugueses, entre;5530;5537;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Landmark;;#C0BF96;CATMA_B372C6D0-1380-49DF-9177-156008685B28
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Verde ;, que son: el ***Verde ***por la parte de Oriente;708;714;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Landmark;;#C0BF96;CATMA_A5A26B3C-1012-43CA-BEFD-CD4E100DFD31
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;HIZTZILAN;"_07237§§§
***HIZTZILAN***, Santiago de) Pueblo";6233;6242;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/Lemma;;#90008D;CATMA_D0C58EDF-79B2-47D8-B433-3D108F0E6338
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Pedi;"y entra en el de ***Pedi***. 

§§§id";5997;6001;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Landmark;;#C0BF96;CATMA_C77AC27E-3ED3-4C63-8E71-BC191E1D725E
D_4C288ED5-3B24-4B29-882D-13A99FC07171;Sample3;22837;Pacífico;por el Poniente el mar ***Pacífico***: está habitado de algunas;10867;10875;C_56BF0181-636D-4AB4-9118-028904FEF641;Sample3 Default Annotations;/GeoEntity/Landmark;;#C0BF96;CATMA_2727D4E9-D4BC-4D4A-B482-DF5B1B6C395C
