document id;document_name;id_x;annotation;context;start_offset;end_offset;annotator_id;annotator_name;tag_name;color;annotation_id
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;pirata ;establecer alguna Colonia: el ***pirata ***Guillermo Dampierre, hablando de;75844;75851;C_D5BA943E-8D0D-4725-AB55-D6B8B85A9EEA;Werner;_Concept_Title-Role;#FF97A5;CATMA_68BC07EF-6372-400B-AD30-B84B4188D1D8
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Pueblecillo;, en que hay un ***Pueblecillo***, y un Islote o;43243;43254;C_D5BA943E-8D0D-4725-AB55-D6B8B85A9EEA;Werner;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_4573F299-D2D5-4F67-B93C-B4E6546F8C7B
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;"de las mayores y mejores ***Poblaciones***; pero los Ingleses la";113285;113296;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_B65636A2-F75C-4035-BBC8-06C75CE1954B
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;##de las nuevas ***Poblaciones*** que fundó el año de;54109;54120;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_8FC2EEA9-B509-44D8-9868-1E4AFA147908
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;"que media entre las dos ***Poblaciones***; tiene 40 familias de";124326;124337;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_D0CA054F-C581-4969-B9DF-0E64F6FD010C
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;correrlas los caminos de las ***Poblaciones*** dichas, acometiendo á quantos;80042;80053;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_A311F69A-1219-4D3C-A6A6-B3788098181B
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;que hay allí: las ***Poblaciones*** más inmediatas que tiene son;139063;139074;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_2BE84A37-79F3-4E2C-A0E7-781D0D194B4A
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Poblaciones;"para inspeccionar la Conquista y ***Poblaciones*** de aquella Provincia.

§";10066;10077;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_SettlementFeatureType;#995800;CATMA_F167BBF9-AF51-4ECF-8198-D8FDC9571024
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;camino;nace en las montañas del ***camino*** que va a Villa-boa,;56585;56591;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_Building_HumanFeatureType;#EA6D01;CATMA_DC192EFB-66B6-477B-84D3-241E98EED5F0
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;camino;porque no cabia por el ***camino***, pesó 7 arrobas,;13732;13738;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_Building_HumanFeatureType;#EA6D01;CATMA_ADE75313-0EB0-4464-86E8-C11D6A28C541
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;camino;, es paso preciso del ***camino*** de Valles que va á;144658;144664;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Feature Type_Building_HumanFeatureType;#EA6D01;CATMA_13B4DEE7-2CC8-47ED-9251-BC3FEE87AA8F
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;Casta;"§§§
CHINA.
***Casta*** ó mezcla que se produce";164450;164455;C_FE465A0D-350B-4CAA-8E0C-7EEBB1601DAB;Alcedo Preset;_Concept_Social Category;#FFCAA5;CATMA_CE0F513D-1D4B-40A7-9F9D-C46616F6544B
D_B5B9287C-03CF-44FD-8774-675D5641F2B1;sample;173834;punta ;"sale al mar en la ***punta ***de Santa Isabel. 

§";43936;43942;C_D5BA943E-8D0D-4725-AB55-D6B8B85A9EEA;Werner;_Concept_Feature Type_NaturalFeatureType;#EF3B00;CATMA_6EEF2762-08F0-45AB-9FA6-7234802CC175
