GroupID;corresp_entry;volume;nombre;type;featuretype;conf_identity;idno_base;gazetteermatch;Province;region;conf_loc_verbal;Lat;Lon;auto;review-note-es;review-note-en;review-note-fr;category-note-es;category-note-en;category-note-fr;doublette-note-es;doublette-note-en;doublette-note-fr;imaginary-note-es;imaginary-note-en;imaginary-note-fr;artifact-note-es;artifact-note-en;artifact-note-fr;historical-note-es;historical-note-en;historical-note-fr;reviewer;alcedo-page;facsimile
TopUrbiGroup10010;id_00014;1;Abanes;Indigenous-political;Nación;-;;;San Juan de los Llanos;Nuevo Reyno de Granada;dummy_regional;7;-73,5;10;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0002;Alcedo_vol_1-0002
TopUrbiGroup10014;id_00018;1;Abeicas;Indigenous-political;Nación;-;;;Canada;Canada;area_sufficient;33,99567051;-85,74326894;14;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0003;Alcedo_vol_1-0003
TopUrbiGroup10019;id_00023;1;Abipones;Indigenous-political;Nación;-;;;Tucuman;Rio de la Plata;dummy_regional;-28,4081;-66,4681;19;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0004;Alcedo_vol_1-0004
TopUrbiGroup10024;id_00028;1;Abitigas;Indigenous-political;Nación;-;;;Tarma;Peru;dummy_regional;-10,8076;-76,0576;24;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0005;Alcedo_vol_1-0005
TopUrbiGroup10082;id_00084;1;Acaxee;Indigenous-political;Nación;-;;;Topia;Nueva Vizcaya;dummy_regional;24,8982;-106,6118;82;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0013;Alcedo_vol_1-0013
TopUrbiGroup10094;id_00096;1;Achagua;Indigenous-political;Nación;-;;;unspecified;Llanos;dummy_regional;6,0094;-73,7906;94;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0015;Alcedo_vol_1-0015
TopUrbiGroup10180;id_00181;1;Agaces;Indigenous-political;Nación;-;;;Paraguay;Rio de la Plata;dummy_regional;-25,202;-55,842;180;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0024;Alcedo_vol_1-0024
TopUrbiGroup10186;id_00187;1;Aunalos;Indigenous-political;Nación;-;;;unspecified;Llanos;dummy_regional;6,1186;-73,7814;186;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0025;Alcedo_vol_1-0025
TopUrbiGroup10192;id_00193;1;Agrias;Indigenous-political;Nación;-;;;Santa Marta;Nuevo Reyno de Granada;dummy_regional;10,7792;-74,0508;192;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0025;Alcedo_vol_1-0025
TopUrbiGroup10285;id_03835;1;Chiugotos;Indigenous-political;Nación;-;;;Venezuela;Venezuela;dummy_regional;9,8683;-68,0017;285;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0545;Alcedo_vol_1-0545
TopUrbiGroup10379;id_00278;1;Ahome;Indigenous-political;Nación;-;;;Sinaloa;Nueva Vizcaya;dummy_regional;25,8181;-108,2619;379;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0033;Alcedo_vol_1-0033
TopUrbiGroup10439;id_00338;1;Airicos;Indigenous-political;Nación;-;;;Nuevo Reyno de Granada;Nuevo Reyno de Granada;dummy_regional;4,6341;-74,0459;439;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0040;Alcedo_vol_1-0040
TopUrbiGroup10446;id_00345;1;Aiuinos;Indigenous-political;Nación;-;;;Sinaloa;Nueva Vizcaya;dummy_regional;25,8248;-108,2552;446;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0041;Alcedo_vol_1-0041
TopUrbiGroup10455;id_00354;1;Ajoues;Indigenous-political;Nación;-;;;Luisiana;Luisiana;zonal;42,68414677;-95,68482961;455;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;Este grupo ha sido mal categorizado en Alcedo.;This group has been miscategorized in Alcedo.;Ce groupe a été mal catégorisé dans Alcedo.;;;;;;;;;;;;;WS;v1-0042;Alcedo_vol_1-0042
TopUrbiGroup10457;id_00356;1;Akanceas;Indigenous-political;Nación;-;;;Luisiana;Luisiana;area_sufficient;33,85778911;-92,04429567;457;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0042;Alcedo_vol_1-0042
TopUrbiGroup10513;id_00411;1;Alcoholades;Indigenous-political;Nación;-;;;Venezuela;Venezuela;dummy_regional;9,6015;-68,0285;513;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0048;Alcedo_vol_1-0048
TopUrbiGroup10531;id_00429;1;Algonquinenses;Indigenous-political;Nación;-;;;Canada;Canada;dummy_regional;44,80311302;-77,31084521;531;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0050;Alcedo_vol_1-0050
TopUrbiGroup10536;id_00434;1;Alibamons;Indigenous-political;Nación;-;;;Luisiana;Middleground;area_sufficient;32,62550519;-86,76613715;536;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0050;Alcedo_vol_1-0050
TopUrbiGroup10543;id_00441;1;Alkansas;Indigenous-political;Nación;-;;;Canada;Canada;area_sufficient;33,84926887;-91,54215175;543;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0051;Alcedo_vol_1-0051
TopUrbiGroup10584;id_00709;1;Ancamares;Indigenous-political;Nación;-;;;Amazonas;Brasil;zonal;-3,77856138;-58,97043297;584;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;CLD;v1-0090;Alcedo_vol_1-0090
TopUrbiGroup10585;id_00710;1;Ancas;Indigenous-political;Nación;-;;;Huaylas;Peru;dummy_regional;-9,4213;-77,5813;585;Este grupo no ha sido revisado.;This group has not been looked at.;Ce groupe n'a pas été examiné.;;;;;;;;;;;;;;;;WS;v1-0090;Alcedo_vol_1-0090
