termID|corresp_entry|volume|Nombre|majortype|featuretype|conf_identity|idno_base|gazetteermatch|Province|region|auto|flag|corresp_concept
TopUrbiTerm16195|id_05866|2|Estero|Term|Landmark|-||-|-|-|6195|y|Estero
TopUrbiTerm16825|id_06457|2|Golfo|Term|Landmark|-||-|-|-|6825|y|Golfo
TopUrbiTerm16954|id_06583|2|Guaca|Term|Construction|-||-|-|-|6954||
TopUrbiTerm17343|id_06981|2|Guechas|Term|Social|-||-|-|-|7343||
TopUrbiTerm18145|id_07810|2|Indios|Term|Social|-||-|-|-|8145||
TopUrbiTerm18256|id_07969|2|Isla|Term|Landmark|-||-|-|-|8256|y|Isla
TopUrbiTerm18928|id_08659|2|Lago|Term|Landmark|-||-|-|-|8928|y|Lago
TopUrbiTerm20874|id_10569|3|Monte|Term|Landmark|-||-|-|-|10874|y|Monte
TopUrbiTerm21237|id_10981|3|Negros|Term|Social|-|||-|-|11237||
TopUrbiTerm21979|id_11788|3|Mestizos|Term|Social|-||-|-|-|11979||
TopUrbiTerm21999|id_11808|3|Mitimaes|Term|Social|-||-|-|-|11999||
TopUrbiTerm22040|id_11848|3|Mulato|Term|Social|-||-|-|-|12040|y|Mulato
TopUrbiTerm23317|id_18640|5|Estancia|Term|Structure|-||-|-|-|13317|y|Estancia
TopUrbiTerm23318|id_18641|5|Estoraque|Term|Pharmacy|-||-|-|-|13318||
TopUrbiTerm23319|id_18642|5|Estrella del Mar|Term|Animal|-||-|-|-|13319||
TopUrbiTerm23320|id_18851|5|Papas|Term|Botany|-||-|-|-|13320||
TopUrbiTerm23321|id_18852|5|Papaya|Term|Nutriment|-||-|-|-|13321||
TopUrbiTerm23322|id_18853|5|Paramo|Term|Landmark|-||-|-|-|13322||
TopUrbiTerm23323|id_18854|5|Pardillo|Term|Botany|-||-|-|-|13323||
TopUrbiTerm23324|id_18855|5|Pareida braba|Term|Botany|-||-|-|-|13324||
TopUrbiTerm23325|id_18856|5|Parotani|Term|Botany|-||-|-|-|13325||
TopUrbiTerm23326|id_18857|5|Pasmo|Term|Illness|-||-|-|-|13326||
TopUrbiTerm23327|id_18858|5|Pastuzo|Term|Produce|-||-|-|-|13327||
TopUrbiTerm23328|id_18859|5|Patilla|Term|Nutriment|-||-|-|-|13328||
TopUrbiTerm23329|id_18860|5|Patisaranda|Term|Botany|-||-|-|-|13329||
TopUrbiTerm23330|id_18861|5|Pauji|Term|Animal|-||-|-|-|13330||
TopUrbiTerm23331|id_18862|5|Pebetero|Term|Produce|-||-|-|-|13331||
TopUrbiTerm23332|id_18863|5|Pellon|Term|Textiles|-||-|-|-|13332||
TopUrbiTerm23333|id_18864|5|Perico ligero|Term|Animal|-||-|-|-|13333||
TopUrbiTerm23334|id_18865|5|Pericote|Term|Animal|-||-|-|-|13334||
TopUrbiTerm23335|id_18866|5|Periquito|Term|Animal|-||-|-|-|13335||
TopUrbiTerm24322|id_18802|5|Muca-muca|Term|Animal|-||-|-|-|14322||
TopUrbiTerm24323|id_18803|5|Mulato|Term|Social|-||-|-|-|14323|y|Mulato
TopUrbiTerm24324|id_18804|5|Mulita|Term|Animal|-||-|-|-|14324||
TopUrbiTerm24325|id_18805|5|Murtilla|Term|Botany|-||-|-|-|14325||
TopUrbiTerm24326|id_18806|5|Muzo|Term|Botany|-||-|-|-|14326||
TopUrbiTerm24327|id_18807|5|Naphta|Term|Mineralogy|-||-|-|-|14327||
TopUrbiTerm24328|id_18808|5|Ñame|Term|Botany|-||-|-|-|14328||
TopUrbiTerm24329|id_18809|5|Nazareno|Term|Botany|-||-|-|-|14329||
TopUrbiTerm24330|id_18810|5|Nigua|Term|Animal|-||-|-|-|14330||
TopUrbiTerm24331|id_18811|5|Nispero|Term|Botany|-||-|-|-|14331||
TopUrbiTerm24333|id_18813|5|Ñopo|Term|Social|-||-|-|-|14333||
TopUrbiTerm24334|id_18814|5|Ñorbo|Term|Botany|-||-|-|-|14334||
TopUrbiTerm24335|id_18815|5|Polvos de Oaxaca|Term|Nutriment|-||-|-|-|14335||
TopUrbiTerm24336|id_18816|5|Obraje|Term|Construction|-||-|-|-|14336|y|Obraje
TopUrbiTerm24337|id_18817|5|Oca|Term|Botany|-||-|-|-|14337||
TopUrbiTerm24338|id_18818|5|Ocote|Term|Pharmacy|-||-|-|-|14338||
TopUrbiTerm24339|id_18819|5|Oleacazan|Term|Botany|-||-|-|-|14339||
TopUrbiTerm24340|id_18820|5|Omanto|Term|Animal|-||-|-|-|14340||
TopUrbiTerm24341|id_18821|5|Organo|Term|Animal|-||-|-|-|14341||
TopUrbiTerm24342|id_18822|5|Oso hormiguero|Term|Animal|-||-|-|-|14342||
TopUrbiTerm24343|id_18823|5|Otoe|Term|Nutriment|-||-|-|-|14343||
TopUrbiTerm24344|id_18824|5|Otova|Term|Botany|-||-|-|-|14344||
TopUrbiTerm24347|id_18827|5|Pacho|Term|Synonym|-||-|-|-|14347||
TopUrbiTerm24348|id_18828|5|Paco|Term|Animal|-||-|-|-|14348||
TopUrbiTerm24349|id_18829|5|Pajaro bobo|Term|Pharmacy|-||-|-|-|14349||
TopUrbiTerm24350|id_18830|5|Pajaro mono|Term|Animal|-||-|-|-|14350||
TopUrbiTerm24351|id_18831|5|Pajaro niño|Term|Animal|-||-|-|-|14351||
TopUrbiTerm24354|id_18834|5|Palo borracho|Term|Botany|-||-|-|-|14354||
TopUrbiTerm24355|id_18835|5|Palo de Luz|Term|Botany|-||-|-|-|14355||
TopUrbiTerm24357|id_18837|5|Palo manteca|Term|Botany|-||-|-|-|14357||
TopUrbiTerm24359|id_18839|5|Palillo|Term|Nutriment|-||-|-|-|14359||
TopUrbiTerm24360|id_18840|5|Palmito|Term|Botany|-||-|-|-|14360||
TopUrbiTerm25256|id_14822|4|Savana|Term|Landmark|-||-|-|-|15256||
TopUrbiTerm26756|id_18516|5|Cascalote|Term|Botany|-||-|-|-|16756||
TopUrbiTerm26757|id_18517|5|Cascarilla|Term|Pharmacy|-||-|-|-|16757||
TopUrbiTerm26758|id_18518|5|Cascol|Term|Pharmacy|-||-|-|-|16758||
TopUrbiTerm26759|id_18519|5|Caspiroleta|Term|Nutriment|-||-|-|-|16759||
TopUrbiTerm26760|id_18520|5|Castañuela|Term|Nutriment|-||-|-|-|16760||
TopUrbiTerm26761|id_18521|5|Castellano|Term|Measurement|-||-|-|-|16761||
TopUrbiTerm26762|id_18522|5|Castor|Term|Animal|-||-|-|-|16762||
TopUrbiTerm26763|id_18524|5|Catachi|Term|Mineralogy|-||-|-|-|16763||
TopUrbiTerm26764|id_18525|5|Cavima|Term|Botany|-||-|-|-|16764||
TopUrbiTerm26765|id_18526|5|Caxon|Term|Measurement|-||-|-|-|16765||
TopUrbiTerm26766|id_18527|5|Cazave|Term|Nutriment|-||-|-|-|16766||
TopUrbiTerm26767|id_18528|5|Cazon|Term|Animal|-||-|-|-|16767||
TopUrbiTerm26768|id_18529|5|Cedro|Term|Botany|-||-|-|-|16768||
TopUrbiTerm26769|id_18530|5|Ceiba|Term|Botany|-||-|-|-|16769||
TopUrbiTerm26770|id_18531|5|Chacaranda|Term|Botany|-||-|-|-|16770||
TopUrbiTerm26771|id_18532|5|Chacharita|Term|Animal|-||-|-|-|16771||
TopUrbiTerm26772|id_18533|5|Chacra|Term|Structure|-||-|-|-|16772|y|Chacra
TopUrbiTerm26773|id_18534|5|Chagllas|Term|Produce|-||-|-|-|16773||
TopUrbiTerm26774|id_18535|5|Chaguala|Term|Produce|-||-|-|-|16774||
TopUrbiTerm26775|id_18536|5|Chaguarama|Term|Botany|-||-|-|-|16775||
TopUrbiTerm26776|id_18537|5|Chalchihuites|Term|Mineralogy|-||-|-|-|16776||
TopUrbiTerm26777|id_18622|5|Currucai|Term|Botany|-||-|-|-|16777||
TopUrbiTerm26778|id_18623|5|Cusicusi|Term|Animal|-||-|-|-|16778||
TopUrbiTerm26779|id_18624|5|Cuy|Term|Animal|-||-|-|-|16779||
TopUrbiTerm26780|id_18625|5|Daconia|Term|Construction|-||-|-|-|16780||
TopUrbiTerm26781|id_18626|5|Daino|Term|Animal|-||-|-|-|16781||
TopUrbiTerm26782|id_18627|5|Dama|Term|Animal|-||-|-|-|16782||
TopUrbiTerm26783|id_18628|5|Dictamo real|Term|Botany|-||-|-|-|16783||
TopUrbiTerm26784|id_18629|5|Diuca|Term|Animal|-||-|-|-|16784||
TopUrbiTerm26785|id_18630|5|Dividivi|Term|Botany|-||-|-|-|16785||
TopUrbiTerm26786|id_18631|5|Dominico|Term|Botany|-||-|-|-|16786||
TopUrbiTerm26787|id_18632|5|Dormilona|Term|Botany|-||-|-|-|16787||
TopUrbiTerm26788|id_18633|5|Drago|Term|Pharmacy|-||-|-|-|16788||
TopUrbiTerm26789|id_18634|5|Drago|Term|Pharmacy|-||-|-|-|16789||
TopUrbiTerm26790|id_18635|5|Durazno|Term|Botany|-||-|-|-|16790||
TopUrbiTerm26791|id_18636|5|Elemi|Term|Pharmacy|-||-|-|-|16791||
TopUrbiTerm26792|id_18637|5|Equis|Term|Animal|-||-|-|-|16792||
TopUrbiTerm26794|id_18639|5|Esponjilla|Term|Botany|-||-|-|-|16794||
TopUrbiTerm26796|id_18868|5|Petaca|Term|Produce|-||-|-|-|16796||
TopUrbiTerm26797|id_18869|5|Petate|Term|Produce|-||-|-|-|16797||
TopUrbiTerm26798|id_18870|5|Petoregui|Term|Botany|-||-|-|-|16798||
TopUrbiTerm26799|id_18871|5|Pexe buey|Term|Animal|-||-|-|-|16799||
TopUrbiTerm27768|id_18663|5|Giquilite|Term|Botany|-||-|-|-|17768||
TopUrbiTerm27769|id_18664|5|Girasol|Term|Mineralogy|-||-|-|-|17769||
TopUrbiTerm27771|id_18666|5|Granadilla|Term|Botany|-||-|-|-|17771||
TopUrbiTerm27772|id_18667|5|Guaba|Term|Nutriment|-||-|-|-|17772||
TopUrbiTerm27773|id_18668|5|Guacamayo|Term|Animal|-||-|-|-|17773||
TopUrbiTerm27774|id_18669|5|Guacarito|Term|Animal|-||-|-|-|17774||
TopUrbiTerm27775|id_18670|5|Guachapeli|Term|Botany|-||-|-|-|17775||
TopUrbiTerm27776|id_18671|5|Guacharaca|Term|Animal|-||-|-|-|17776||
TopUrbiTerm27777|id_18672|5|Guadua|Term|Nutriment|-||-|-|-|17777||
TopUrbiTerm27778|id_18673|5|Guamache|Term|Nutriment|-||-|-|-|17778||
TopUrbiTerm27779|id_18674|5|Guamanga|Term|Mineralogy|-||-|-|-|17779||
TopUrbiTerm27780|id_18675|5|Guanabana|Term|Nutriment|-||-|-|-|17780||
TopUrbiTerm27781|id_18676|5|Guarango|Term|Botany|-||-|-|-|17781||
TopUrbiTerm27782|id_18677|5|Guarapo|Term|Nutriment|-||-|-|-|17782||
