entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_00005,,Abbots,Toponym,landmark,Rio,North Carolina,unspecified,TopUrbiPlace10001
id_00006,,Abacachis,Toponym,settlement,Pueblo de Indios,Amazonas,Brasil,TopUrbiPlace10002
id_00007,,Abacoa,Referral,Referral,None,unspecified,unspecified,TopUrbiPlace10003
id_00008,,Abacqua,Toponym,settlement,Pueblo,Buenos Aires,unspecified,TopUrbiPlace10004
id_00009,,Abacu,Toponym,landmark,Punta,Santo Domingo,unspecified,TopUrbiPlace10005
id_00010,,Abades,Toponym,settlement,Pueblo,Popayan,unspecified,TopUrbiPlace10006
id_00011,,Abancay,Toponym,territory,Provincia,Abancay,Perú,TopUrbiPlace10007
id_00012,,Abancay,Toponym,settlement,Pueblo,Abancay,Perú,TopUrbiPlace10008
id_00013,,Abancay,Toponym,settlement,Pueblo,Cuenca,Quito,TopUrbiPlace10009
id_00014,,Abanes,Toponym,human_group,Nación,San Juan de los Llanos,Nueva Granada,TopUrbiGroup10010
id_00015,,Abangoui,Toponym,settlement,Pueblo,Paraguay,unspecified,TopUrbiPlace10011
id_00016,,Abaranquen,Toponym,landmark,Rio,Guayana,unspecified,TopUrbiPlace10012
id_00017,,Abecochi,Toponym,settlement,Pueblo de Indios,South Carolina,unspecified,TopUrbiPlace10013
id_00018,,Abeicas,Toponym,human_group,Nación,Canada,Nueva Francia,TopUrbiGroup10014
id_00019,,Abercorn,Toponym,settlement,Pueblo,Georgia,unspecified,TopUrbiPlace10015
id_00020,,Montañas de Abide,Toponym,landmark,Montañas,Cartagena,unspecified,TopUrbiPlace10016
id_00021,,Abigiras,Toponym,settlement,Pueblo de Indios,Maynas,Quito,TopUrbiPlace10017
id_00022,,Abipi,Toponym,settlement,Pueblo,Tunja,Nueva Granada,TopUrbiPlace10018
id_00023,,Abipones,Toponym,human_group,Nación,Tucuman,unspecified,TopUrbiGroup10019
id_00024,,Abisca,Toponym,territory,Provincia,Abisca,Perú,TopUrbiPlace10020
id_00025,,Quartel des Abismes,Toponym,landmark,Parte,Guadalupe,unspecified,TopUrbiPlace10021
id_00026,,Abitanis,Toponym,landmark,Monte,Lipes,Perú,TopUrbiPlace10022
id_00027,,Aeitibis,Toponym,landmark,Lago,Hudson,unspecified,TopUrbiPlace10023
id_00028,,Abitigas,Toponym,human_group,Nación,Tarma,Perú,TopUrbiGroup10024
id_00029,,Aborigen,Toponym,landmark,Puerto,Seara,unspecified,TopUrbiPlace10025
id_00030,,Abra,Toponym,landmark,Isla,Estrecho magellanico,Patagonia,TopUrbiPlace10026
id_00031,,Abreolhos,Toponym,landmark,Punta,Espiritu Santo,Brasil,TopUrbiPlace10027
id_00032,,Abrojos,Toponym,landmark,Baxo,California,unspecified,TopUrbiPlace10028
id_00033,,Abrojos,Referral,Referral,None,unspecified,unspecified,TopUrbiPlace10029
id_00034,,Abucara,Toponym,settlement,Pueblo,Lucanas,Perú,TopUrbiPlace10030
id_00035,,San Joseph de los Abucees,Toponym,settlement,Pueblo,Quixos y Macas,Quito,TopUrbiPlace10031
id_00036,,San Bartolomé de Aburra,Toponym,settlement,Villa,Antioquia,Nueva Granada,TopUrbiPlace10032
id_00037,,Aca,Toponym,settlement,Pueblo,Tlaxcala,Nueva España,TopUrbiPlace10033
id_00038,,Acachxla,Toponym,settlement,Pueblo,Yamparaes,Perú,TopUrbiPlace10034
id_00039,,Acacuña,Toponym,landmark,Monte,Arica,Perú,TopUrbiPlace10035
id_00040,,Acadia,Toponym,territory,Provincia,Acadia,Nueva Escocia,TopUrbiPlace10036
id_00041,,Acaguato,Toponym,settlement,Pueblo,Tancitaro,unspecified,TopUrbiPlace10037
id_00042,,Acaia,Toponym,settlement,Pueblo,Cajatambo,Perú,TopUrbiPlace10038
id_00043,,Acambaro,Toponym,settlement,Pueblo Cabecera,Michoacan,unspecified,TopUrbiPlace10039
id_00044,,Acamistlahuac,Toponym,settlement,Pueblo Cabecera,Taxco,unspecified,TopUrbiPlace10040
id_00045,,Acamuchitlan,Toponym,settlement,Pueblo,Zultepec,unspecified,TopUrbiPlace10041
id_00046,,Acamon,Toponym,landmark,Rio,Guayana,unspecified,TopUrbiPlace10042
id_00047,,Acaxuchitlan,Toponym,settlement,Pueblo Cabecera,Tulancingo,unspecified,TopUrbiPlace10043
id_00048,,Acanti,Toponym,landmark,Rio,Darien,Tierra-Firme,TopUrbiPlace10044
id_00049,,Acantepec,Toponym,settlement,Pueblo Cabecera,Tlapa,unspecified,TopUrbiPlace10045
id_00050,id_01060,Acapala,Toponym,settlement,Pueblo,Chiapas,Guatemala,TopUrbiPlace10046
id_00051,,San Diego de Acapazingo,Toponym,settlement,Pueblo,Cuernavaca,unspecified,TopUrbiPlace10047
id_00052,,Acapetlahuaia,Toponym,settlement,Pueblo,Zacualpa,unspecified,TopUrbiPlace10048
id_00053,,Acaponeta,Toponym,territory,Alcaldía mayor,Nueva Galicia,Nueva Galicia,TopUrbiPlace10049
id_00054,,Acapulco,Toponym,settlement,Ciudad,Acapulco,unspecified,TopUrbiPlace10050
id_00055,,Acaraga,Toponym,landmark,Rio,Paraguay,unspecified,TopUrbiPlace10051
id_00056,,Acarai,Toponym,settlement,Pueblo,Paraguay,unspecified,TopUrbiPlace10052
id_00057,,Acarai,Toponym,landmark,Rio,Paraguay,unspecified,TopUrbiPlace10053
id_00058,,Acarapu,Toponym,landmark,Rio,Surinam,unspecified,TopUrbiPlace10054
id_00059,,Acari,Toponym,settlement,Pueblo,Camana,Perú,TopUrbiPlace10055
id_00060,,Acari,Toponym,landmark,Punta,Camana,unspecified,TopUrbiPlace10056
id_00061,,Acari,Toponym,landmark,Rio,Camana,unspecified,TopUrbiPlace10057
id_00062,,Acari,Toponym,landmark,Rio,Amazonas,Brasil,TopUrbiPlace10058
id_00063,,Acarigua,Toponym,settlement,Pueblo,Venezuela,unspecified,TopUrbiPlace10059
id_00064,,Acarigua,Toponym,landmark,Rio,Venezuela,unspecified,TopUrbiPlace10060
