key_value,norm_value
Abertura,Abertura
abra,Abra
Abra,Abra
abra,Abra
Agugero,Agujero
agujero,Agujero
Aillo,Ayllu
Alcaldía,Alcaldía
Alcaldía mayor,Alcaldía Mayor
Alcaldía Mayor,Alcaldía Mayor
Alcaldías,Alcaldía
Alcaldías mayor,Alcaldía Mayor
Alcaldías mayores,Alcaldía Mayor
Aldea,Aldea
aldea,Aldea
Aldea,Aldea
Aldeas,Aldea
aldeas,Aldea
Aldeas,Aldea
alto,Alto
Altos,Alto
altos,Alto
Americanos,Americano
ance,Ance
ances,Ance
Ancón,Ancón
Ancud,Ancud
angostura,Angostura
Angostura,Angostura
angostura,Angostura
Angostura,Angostura
angostura,Angostura
Angostura,Angostura
angostura,Angostura
Antropófagos,Antropófago
antropófoga,Antropófago
Archipiélago,Archipiélago
archipiélago,Archipiélago
Archipiélago,Archipiélago
archipiélago,Archipiélago
Archipiélago,Archipiélago
archipiélago,Archipiélago
Archipiélago,Archipiélago
archipiélagos,Archipiélago
arenales,Arenal
arrabal,Arrabal
Arrabal,Arrabal
arrabal,Arrabal
Arrabal,Arrabal
arrabales,Arrabal
Arrecife,Arrecife
arrecife,Arrecife
Arrecife,Arrecife
arrecifes,Arrecife
Arrecifes,Arrecife
arroyo,Arroyo
Arroyo,Arroyo
arroyo,Arroyo
arroyos,Arroyo
Arzobispado,Arzobispado
Arzobispados,Arzobispado
Asiento,Asiento
asiento,Asiento
Asiento,Asiento
asiento,Asiento
Asiento,Asiento
asiento,Asiento
Asiento,Asiento
Asiento de Minas,Asiento De Minas
asiento de minas,Asiento De Minas
Asiento de minas,Asiento De Minas
asiento de Minas,Asiento De Minas
Asiento de Minas,Asiento De Minas
asiento de minas,Asiento De Minas
Asiento de Minas,Asiento De Minas
asiento de minas,Asiento De Minas
Asiento de Minas,Asiento De Minas
Assiento de Minas,Asiento De Minas
Atalaya,Atalaya
atalaya,Atalaya
Atalaya,Atalaya
atalaya,Atalaya
atalayas,Atalaya
Audiencia,Audiencia
Audiencias,Audiencia
Bahía,Bahía
bahía,Bahía
BAHIAS,Bahia
Bahías,Bahía
bahías,Bahía
Bahías,Bahía
Bajo,Bajo
Bajo de peña,Bajo
Bajos de Peña,Bajo
Balsa,Balsa
banco,Banco
Banco,Banco
banco,Banco
Banco,Banco
banco de arena,Banco
Banco de arena,Banco
banco de arena,Banco
Banco de arena,Banco
banco de arena,Banco
Bancos,Banco
bancos,Banco
bancos de arena,Banco
Bancos de Arena,Banco
bancos de arena,Banco
baños,Baño
barbara,Bárbaro
bárbara,Bárbaro
bárbaras,Bárbaro
barbaros,Bárbaro
bárbaros,Bárbaro
Bárbaros,Bárbaro
bárbaros,Bárbaro
Bárbaros,Bárbaro
bárbaros,Bárbaro
Bárbaros,Bárbaro
bárbaros,Bárbaro
bárbaros civilizados,Bárbaro
Bárbaros infieles,Bárbaro
barra,Barra
Barra,Barra
barra,Barra
barranca,Barranca
Barranca,Barranca
barranca,Barranca
barrancas,Barranca
barranco,Barranca
barrancos,Barranca
Barrancos,Barranca
barrancos,Barranca
barrio,Barrio
Barrio,Barrio
barrio,Barrio
Barrio,Barrio
barrio,Barrio
Barrio,Barrio
barrio,Barrio
Barrio,Barrio
barrios,Barrio
Barrios,Barrio
barrios,Barrio
Barrios,Barrio
barrios,Barrio
Barrios,Barrio
barrios,Barrio
Barrios,Barrio
Basin,Bassin
Bassin,Bassin
bastión,Bastión
bastiones,Bastión
Batería,Batería
batería,Batería
baterías,Batería
baxo,Bajo
Baxo,Bajo
baxo,Bajo
Baxo,Bajo
baxo,Bajo
Baxo,Bajo
baxo,Bajo
Baxo,Bajo
Baxo de arena,Bajo
Baxo de Peña,Bajo
Baxo de peña,Bajo
baxo de peña,Bajo
baxo de piedra,Bajo
baxos,Bajo
Baxos,Bajo
baxos,Bajo
Baxos,Bajo
baxos,Bajo
Baxos,Bajo
baxos,Bajo
Baxos,Bajo
baxos,Bajo
